level,taxon,family,division,fit_level,fit_taxon,n,ln_a,b,sigma,r2,dbh_min_cm,dbh_max_cm,scale
genus,Abarema,Fabaceae,Angiosperm,family,Fabaceae,13535,-1.19381,0.703454,0.539608,0.602688,1,246.4,0.35056
genus,Abelmoschus,Malvaceae,Angiosperm,family,Malvaceae,4461,-1.20189,0.656564,0.487643,0.62546,1,247.7,0.33858
genus,Abies,Pinaceae,Gymnosperm,genus,Abies,4069,-1.66419,0.689619,0.363304,0.587446,1,113,0.202261
genus,Abrophyllum,Rousseaceae,Angiosperm,division,Angiosperm,211929,-1.16468,0.646075,0.464109,0.608856,1,385,0.347503
genus,Abuta,Menispermaceae,Angiosperm,division,Angiosperm,211929,-1.16468,0.646075,0.464109,0.608856,1,385,0.347503
genus,Acacia,Fabaceae,Angiosperm,genus,Acacia,674,-0.444309,0.532006,0.544945,0.295754,1.4,59.7,0.743917
genus,Acalypha,Euphorbiaceae,Angiosperm,family,Euphorbiaceae,6196,-1.17832,0.614096,0.482286,0.532154,1,117,0.345755
genus,Acer,Sapindaceae,Angiosperm,genus,Acer,7355,-0.802726,0.592329,0.336729,0.544125,1,140,0.474244
genus,Aceratium,Elaeocarpaceae,Angiosperm,family,Elaeocarpaceae,544,-1.29781,0.67034,0.458223,0.600951,1.1,124.7,0.303363
genus,Achatocarpus,Achatocarpaceae,Angiosperm,division,Angiosperm,211929,-1.16468,0.646075,0.464109,0.608856,1,385,0.347503
genus,Acronychia,Rutaceae,Angiosperm,genus,Acronychia,369,-1.25158,0.603061,0.369796,0.48166,3,83.5,0.306295
genus,Actephila,Phyllanthaceae,Angiosperm,family,Phyllanthaceae,2497,-1.46621,0.775491,0.470494,0.629917,1,111.5,0.257811
genus,Actinodaphne,Lauraceae,Angiosperm,genus,Actinodaphne,85,-1.2644,0.608885,0.410007,0.534291,3,61,0.307172
genus,Adelia,Euphorbiaceae,Angiosperm,family,Euphorbiaceae,6196,-1.17832,0.614096,0.482286,0.532154,1,117,0.345755
