level,taxon,fit_level,fit_taxon,n,cities,ln_a,b,sigma,r2,age_min_years,age_max_years,scale
genus,Abies,genus,Abies,1107,14,0.712216,0.768849,0.820217,0.468164,1.02122,126.689,2.85364
genus,Acacia,division,Angiosperm,1753823,22,0.944994,0.635705,0.613948,0.529363,1.00205,196.687,3.10639
genus,Acer,genus,Acer,238096,21,0.807997,0.693294,0.506969,0.658531,1.00205,183.688,2.55105
genus,Aesculus,genus,Aesculus,29874,20,0.687667,0.743612,0.374424,0.82962,1.00205,196.687,2.1335
genus,Afrocarpus,division,Gymnosperm,129650,21,1.0042,0.597991,0.693953,0.400249,1.00205,197.687,3.47289
genus,Agathis,division,Gymnosperm,129650,21,1.0042,0.597991,0.693953,0.400249,1.00205,197.687,3.47289
genus,Agonis,genus,Agonis,466,3,0.0746488,0.881151,0.690947,0.351413,1.99042,39.9671,1.368
genus,Ailanthus,division,Angiosperm,1753823,22,0.944994,0.635705,0.613948,0.529363,1.00205,196.687,3.10639
genus,Albizia,division,Angiosperm,1753823,22,0.944994,0.635705,0.613948,0.529363,1.00205,196.687,3.10639
genus,Allocasuarina,division,Angiosperm,1753823,22,0.944994,0.635705,0.613948,0.529363,1.00205,196.687,3.10639
genus,Alnus,genus,Alnus,8977,15,1.25908,0.577565,0.476217,0.619276,1.00205,133.687,3.94508
genus,Amelanchier,division,Angiosperm,1753823,22,0.944994,0.635705,0.613948,0.529363,1.00205,196.687,3.10639
genus,Angophora,division,Angiosperm,1753823,22,0.944994,0.635705,0.613948,0.529363,1.00205,196.687,3.10639
genus,Araucaria,division,Gymnosperm,129650,21,1.0042,0.597991,0.693953,0.400249,1.00205,197.687,3.47289
genus,Arbutus,division,Angiosperm,1753823,22,0.944994,0.635705,0.613948,0.529363,1.00205,196.687,3.10639
genus,Banksia,division,Angiosperm,1753823,22,0.944994,0.635705,0.613948,0.529363,1.00205,196.687,3.10639
genus,Bauhinia,division,Angiosperm,1753823,22,0.944994,0.635705,0.613948,0.529363,1.00205,196.687,3.10639
genus,Betula,genus,Betula,27505,21,1.09239,0.547384,0.596293,0.504686,1.00205,138.689,3.56146
genus,Brachychiton,division,Angiosperm,1753823,22,0.944994,0.635705,0.613948,0.529363,1.00205,196.687,3.10639
genus,Broussonetia,division,Angiosperm,1753823,22,0.944994,0.635705,0.613948,0.529363,1.00205,196.687,3.10639
genus,Callistemon,division,Angiosperm,1753823,22,0.944994,0.635705,0.613948,0.529363,1.00205,196.687,3.10639
genus,Calocedrus,division,Angiosperm,1753823,22,0.944994,0.635705,0.613948,0.529363,1.00205,196.687,3.10639
genus,Calodendrum,division,Angiosperm,1753823,22,0.944994,0.635705,0.613948,0.529363,1.00205,196.687,3.10639
genus,Caragana,division,Angiosperm,1753823,22,0.944994,0.635705,0.613948,0.529363,1.00205,196.687,3.10639
genus,Carpinus,genus,Carpinus,22649,18,1.0984,0.564886,0.412454,0.660137,1.00205,145.687,3.26566
genus,Carya,genus,Carya,2183,16,1.00621,0.6228,0.877892,0.333893,1.01574,35.9754,4.02111
genus,Cassia,division,Angiosperm,1753823,22,0.944994,0.635705,0.613948,0.529363,1.00205,196.687,3.10639
genus,Castanea,genus,Castanea,393,10,1.1187,0.624148,0.559462,0.604305,1.57974,131.688,3.57941
genus,Casuarina,genus,Casuarina,2619,3,0.282998,0.993274,0.566083,0.443756,2.69131,36.282,1.55772
genus,Catalpa,genus,Catalpa,5606,17,0.925307,0.722439,0.618488,0.64995,1.00205,176.687,3.05436
genus,Ceanothus,division,Angiosperm,1753823,22,0.944994,0.635705,0.613948,0.529363,1.00205,196.687,3.10639
genus,Cedrus,division,Gymnosperm,129650,21,1.0042,0.597991,0.693953,0.400249,1.00205,197.687,3.47289
genus,Celtis,genus,Celtis,25017,20,1.05705,0.560227,0.500874,0.508827,1.00205,81.6893,3.26248
genus,Ceratonia,division,Angiosperm,1753823,22,0.944994,0.635705,0.613948,0.529363,1.00205,196.687,3.10639
genus,Cercidiphyllum,genus,Cercidiphyllum,4932,17,0.879027,0.561565,0.478805,0.521431,1.00205,86.6913,2.70109
genus,Cercis,genus,Cercis,8740,19,1.34569,0.42263,0.433706,0.347892,1.00205,154.689,4.21962
genus,Chamaecyparis,division,Gymnosperm,129650,21,1.0042,0.597991,0.693953,0.400249,1.00205,197.687,3.47289
genus,Chionanthus,genus,Chionanthus,758,8,1.27669,0.357666,0.479873,0.24769,1.00205,35.0938,4.02221
genus,Chitalpa,division,Angiosperm,1753823,22,0.944994,0.635705,0.613948,0.529363,1.00205,196.687,3.10639
genus,Chorisia,division,Angiosperm,1753823,22,0.944994,0.635705,0.613948,0.529363,1.00205,196.687,3.10639
genus,Cinnamomum,division,Angiosperm,1753823,22,0.944994,0.635705,0.613948,0.529363,1.00205,196.687,3.10639
genus,Citrus,division,Angiosperm,1753823,22,0.944994,0.635705,0.613948,0.529363,1.00205,196.687,3.10639
genus,Cladrastis,genus,Cladrastis,4446,12,1.25652,0.429278,0.432054,0.332971,1.00205,96.6899,3.85687
genus,Cornus,genus,Cornus,4381,17,1.24913,0.382492,0.500213,0.311996,1.01574,93.6893,3.95208
genus,Corylus,genus,Corylus,10269,16,0.771909,0.669302,0.357406,0.710685,1.00205,144.687,2.30661
genus,Corymbia,division,Angiosperm,1753823,22,0.944994,0.635705,0.613948,0.529363,1.00205,196.687,3.10639
genus,Cotinus,genus,Cotinus,132,10,1.44846,0.509327,0.794058,0.28376,1.3963,44.6899,5.83412
genus,Crataegus,genus,Crataegus,15164,20,1.10314,0.476693,0.420771,0.516132,1.00479,121.689,3.29256
genus,Cryptomeria,genus,Cryptomeria,169,8,1.43811,0.456898,0.659514,0.336169,1.35797,48.6899,5.23616
genus,Cupaniopsis,division,Angiosperm,1753823,22,0.944994,0.635705,0.613948,0.529363,1.00205,196.687,3.10639
genus,Cupressus,division,Angiosperm,1753823,22,0.944994,0.635705,0.613948,0.529363,1.00205,196.687,3.10639
genus,Davidia,division,Angiosperm,1753823,22,0.944994,0.635705,0.613948,0.529363,1.00205,196.687,3.10639
genus,Diospyros,division,Angiosperm,1753823,22,0.944994,0.635705,0.613948,0.529363,1.00205,196.687,3.10639
genus,Dodonaea,division,Angiosperm,1753823,22,0.944994,0.635705,0.613948,0.529363,1.00205,196.687,3.10639
genus,Dracaena,division,Angiosperm,1753823,22,0.944994,0.635705,0.613948,0.529363,1.00205,196.687,3.10639
genus,Elaeagnus,genus,Elaeagnus,1205,10,1.19255,0.489973,0.45842,0.491468,1.01848,85.6893,3.66057
genus,Eriobotrya,division,Angiosperm,1753823,22,0.944994,0.635705,0.613948,0.529363,1.00205,196.687,3.10639
genus,Erythrina,division,Angiosperm,1753823,22,0.944994,0.635705,0.613948,0.529363,1.00205,196.687,3.10639
genus,Eucalyptus,division,Angiosperm,1753823,22,0.944994,0.635705,0.613948,0.529363,1.00205,196.687,3.10639
genus,Eucommia,division,Angiosperm,1753823,22,0.944994,0.635705,0.613948,0.529363,1.00205,196.687,3.10639
genus,Eugenia,division,Angiosperm,1753823,22,0.944994,0.635705,0.613948,0.529363,1.00205,196.687,3.10639
genus,Euphorbia,division,Angiosperm,1753823,22,0.944994,0.635705,0.613948,0.529363,1.00205,196.687,3.10639
genus,Fagus,genus,Fagus,6947,17,0.920039,0.645646,0.54811,0.577196,1.03765,189.687,2.91611
genus,Feijoa,division,Angiosperm,1753823,22,0.944994,0.635705,0.613948,0.529363,1.00205,196.687,3.10639
genus,Ficus,division,Angiosperm,1753823,22,0.944994,0.635705,0.613948,0.529363,1.00205,196.687,3.10639
genus,Fraxinus,genus,Fraxinus,89172,19,0.347785,0.854263,0.52756,0.485847,1.01574,164.687,1.62734
genus,Geijera,division,Angiosperm,1753823,22,0.944994,0.635705,0.613948,0.529363,1.00205,196.687,3.10639
genus,Ginkgo,genus,Ginkgo,20983,20,1.14248,0.414964,0.491845,0.375288,1.00205,151.688,3.53756
genus,Gleditsia,genus,Gleditsia,44728,19,1.00724,0.579885,0.524924,0.542142,1.00205,123.288,3.14247
genus,Grevillea,division,Angiosperm,1753823,22,0.944994,0.635705,0.613948,0.529363,1.00205,196.687,3.10639
genus,Gymnocladus,genus,Gymnocladus,20947,17,1.32441,0.315861,0.379201,0.257284,1.00205,95.8549,4.04023
genus,Halesia,genus,Halesia,352,7,1.06899,0.549277,0.661344,0.230486,1.28405,31.6906,3.62436
genus,Hamamelis,division,Angiosperm,1753823,22,0.944994,0.635705,0.613948,0.529363,1.00205,196.687,3.10639
genus,Harpephyllum,division,Angiosperm,1753823,22,0.944994,0.635705,0.613948,0.529363,1.00205,196.687,3.10639
genus,Heteromeles,division,Angiosperm,1753823,22,0.944994,0.635705,0.613948,0.529363,1.00205,196.687,3.10639
genus,Hibiscus,division,Angiosperm,1753823,22,0.944994,0.635705,0.613948,0.529363,1.00205,196.687,3.10639
genus,Hymenosporum,division,Angiosperm,1753823,22,0.944994,0.635705,0.613948,0.529363,1.00205,196.687,3.10639
genus,Ilex,division,Angiosperm,1753823,22,0.944994,0.635705,0.613948,0.529363,1.00205,196.687,3.10639
