landmark_id,name,city,latitude,longitude,geometry_raw
ath-acropolis-of-athens,Acropolis of Athens,GRATH,37.9716894,23.7263197,POINT(23.7263197 37.9716894)
ath-parthenon,Parthenon,GRATH,37.9715034,23.7266177,POINT(23.7266177 37.9715034)
ath-erechtheion,Erechtheion,GRATH,37.9720996,23.7264777,POINT(23.7264777 37.9720996)
ath-odeon-of-herodes-atticus,Odeon of Herodes Atticus,GRATH,37.9708191,23.7245465,POINT(23.7245465 37.9708191)
ath-theatre-of-dionysus,Theatre of Dionysus,GRATH,37.970586,23.727629,POINT(23.727629 37.970586)
ath-temple-of-olympian-zeus,Temple of Olympian Zeus,GRATH,37.969437,23.7330955,POINT(23.7330955 37.969437)
ath-arch-of-hadrian,Arch of Hadrian,GRATH,37.9701869,23.732013,POINT(23.732013 37.9701869)
ath-hadrian-s-library,Hadrian's Library,GRATH,37.9753992,23.7265715,POINT(23.7265715 37.9753992)
ath-ancient-agora-of-athens,Ancient Agora of Athens,GRATH,37.9747095,23.7224934,POINT(23.7224934 37.9747095)
ath-temple-of-hephaestus,Temple of Hephaestus,GRATH,37.975604,23.7214117,POINT(23.7214117 37.975604)
ath-stoa-of-attalos,Stoa of Attalos,GRATH,37.9751608,23.7242179,POINT(23.7242179 37.9751608)
ath-roman-agora,Roman Agora,GRATH,37.9743035,23.7263311,POINT(23.7263311 37.9743035)
ath-tower-of-the-winds,Tower of the Winds,GRATH,37.9741974,23.7270283,POINT(23.7270283 37.9741974)
ath-kerameikos,Kerameikos,GRATH,37.9786336,23.7182209,POINT(23.7182209 37.9786336)
ath-panathenaic-stadium,Panathenaic Stadium,GRATH,37.9684357,23.7409451,POINT(23.7409451 37.9684357)
ath-syntagma-square,Syntagma Square,GRATH,37.9755158,23.7349503,POINT(23.7349503 37.9755158)
ath-national-garden-of-athens,National Garden of Athens,GRATH,37.9735816,23.7377926,POINT(23.7377926 37.9735816)
ath-zappeion,Zappeion,GRATH,37.9715169,23.7362965,POINT(23.7362965 37.9715169)
ath-monastiraki-square,Monastiraki Square,GRATH,37.9763614,23.7259471,POINT(23.7259471 37.9763614)
ath-omonoia-square,Omonoia Square,GRATH,37.9840012,23.7276857,POINT(23.7276857 37.9840012)
ath-philopappos-monument,Philopappos Monument,GRATH,37.9673635,23.7213682,POINT(23.7213682 37.9673635)
ath-academy-of-athens,Academy of Athens,GRATH,37.9800871,23.7341113,POINT(23.7341113 37.9800871)
ath-national-library-of-greece,National Library of Greece,GRATH,37.9402774,23.6923904,POINT(23.6923904 37.9402774)
ath-national-archaeological-museum,National Archaeological Museum,GRATH,37.9890123,23.7329577,POINT(23.7329577 37.9890123)
ath-acropolis-museum,Acropolis Museum,GRATH,37.9685331,23.7284706,POINT(23.7284706 37.9685331)
ath-benaki-museum,Benaki Museum,GRATH,37.9744745,23.7086031,POINT(23.7086031 37.9744745)
ath-metropolitan-cathedral-of-athens,Metropolitan Cathedral of Athens,GRATH,37.975311,23.7300725,POINT(23.7300725 37.975311)
ath-first-cemetery-of-athens,First Cemetery of Athens,GRATH,37.9630169,23.738324,POINT(23.738324 37.9630169)
ath-areopagus,Areopagus,GRATH,37.9724088,23.7230956,POINT(23.7230956 37.9724088)
ath-pnyx,Pnyx,GRATH,37.9715428,23.7193811,POINT(23.7193811 37.9715428)
