landmark_id,name,city,latitude,longitude,geometry_raw
mlo-catacombs-of-milos,Catacombs of Milos,GRMLO,36.7436863,24.4236979,POINT(24.4236979 36.7436863)
mlo-sarakiniko,Sarakiniko,GRMLO,36.7427613,24.4583123,POINT(24.4583123 36.7427613)
mlo-kleftiko,Kleftiko,GRMLO,36.6522225,24.3330308,POINT(24.3330308 36.6522225)
mlo-klima,Klima,GRMLO,36.7352417,24.4202219,POINT(24.4202219 36.7352417)
mlo-plaka,Plaka,GRMLO,36.7438218,24.4248937,POINT(24.4248937 36.7438218)
mlo-kastro-of-milos,Kastro of Milos,GRMLO,36.7457218,24.4225531,POINT(24.4225531 36.7457218)
mlo-panagia-korfiatissa,Panagia Korfiatissa,GRMLO,36.7435464,24.4216097,POINT(24.4216097 36.7435464)
mlo-firopotamos,Firopotamos,GRMLO,36.7578632,24.4282271,POINT(24.4282271 36.7578632)
mlo-papafragas,Papafragas,GRMLO,36.7539158,24.5034593,POINT(24.5034593 36.7539158)
mlo-tripiti,Tripiti,GRMLO,36.7377056,24.4274042,POINT(24.4274042 36.7377056)
mlo-adamantas,Adamantas,GRMLO,36.726262,24.4472119,POINT(24.4472119 36.726262)
mlo-milos-mining-museum,Milos Mining Museum,GRMLO,36.7255543,24.4535423,POINT(24.4535423 36.7255543)
mlo-archaeological-museum-of-milos,Archaeological Museum of Milos,GRMLO,36.743848,24.4236228,POINT(24.4236228 36.743848)
mlo-pollonia,Pollonia,GRMLO,36.7626404,24.5261626,POINT(24.5261626 36.7626404)
mlo-paliochori,Paliochori,GRMLO,36.6761335,24.5177401,POINT(24.5177401 36.6761335)
mlo-firiplaka,Firiplaka,GRMLO,36.6679448,24.4616168,POINT(24.4616168 36.6679448)
mlo-mandrakia,Mandrakia,GRMLO,36.7500176,24.4462174,POINT(24.4462174 36.7500176)
mlo-zefyria,Zefyria,GRMLO,36.7006344,24.490647,POINT(24.490647 36.7006344)
mlo-achivadolimni,Achivadolimni,GRMLO,36.6888962,24.44998,POINT(24.44998 36.6888962)
