landmark_id,name,city,latitude,longitude,geometry_raw
san-akrotiri,Akrotiri,GRSAN,36.3517932,25.4034872,POINT(25.4034872 36.3517932)
san-ancient-thera,Ancient Thera,GRSAN,36.3636258,25.4781968,POINT(25.4781968 36.3636258)
san-fira,Fira,GRSAN,36.4149227,25.4324527,POINT(25.4324527 36.4149227)
san-oia,Oia,GRSAN,36.4622122,25.3757257,POINT(25.3757257 36.4622122)
san-imerovigli,Imerovigli,GRSAN,36.4325579,25.4228307,POINT(25.4228307 36.4325579)
san-firostefani,Firostefani,GRSAN,36.4273958,25.4282809,POINT(25.4282809 36.4273958)
san-pyrgos-kallistis,Pyrgos Kallistis,GRSAN,36.3826042,25.4501541,POINT(25.4501541 36.3826042)
san-megalochori,Megalochori,GRSAN,36.3763939,25.4317299,POINT(25.4317299 36.3763939)
san-emporio,Emporio,GRSAN,36.3571658,25.4461188,POINT(25.4461188 36.3571658)
san-kamari,Kamari,GRSAN,36.3761502,25.4806336,POINT(25.4806336 36.3761502)
san-perissa,Perissa,GRSAN,36.3569274,25.4738666,POINT(25.4738666 36.3569274)
san-vlychada,Vlychada,GRSAN,36.3373531,25.4359768,POINT(25.4359768 36.3373531)
san-red-beach,Red Beach,GRSAN,36.3488353,25.3941206,POINT(25.3941206 36.3488353)
san-moni-profiti-ilia,Moni Profiti Ilia,GRSAN,36.368459,25.4632512,POINT(25.4632512 36.368459)
san-panagia-episkopi,Panagia Episkopi,GRSAN,36.3774501,25.4640236,POINT(25.4640236 36.3774501)
san-nea-kameni,Nea Kameni,GRSAN,36.404779,25.3979501,POINT(25.3979501 36.404779)
san-palea-kameni,Palea Kameni,GRSAN,36.3970967,25.3801521,POINT(25.3801521 36.3970967)
san-thirasia,Thirasia,GRSAN,36.4339362,25.3361087,POINT(25.3361087 36.4339362)
san-museum-of-prehistoric-thera,Museum of Prehistoric Thera,GRSAN,36.4164967,25.4325796,POINT(25.4325796 36.4164967)
san-archaeological-museum-of-thera,Archaeological Museum of Thera,GRSAN,36.420014,25.4310975,POINT(25.4310975 36.420014)
san-santo-wines,Santo Wines,GRSAN,36.3875673,25.4365137,POINT(25.4365137 36.3875673)
san-skaros,Skaros,GRSAN,36.4312146,25.4250416,POINT(25.4250416 36.4312146)
san-athinios,Athinios,GRSAN,36.3856991,25.4296879,POINT(25.4296879 36.3856991)
san-santorini-airport,Santorini Airport,GRSAN,36.3996623,25.4767089,POINT(25.4767089 36.3996623)
san-finikia,Finikia,GRSAN,36.4632168,25.3938867,POINT(25.3938867 36.4632168)
san-vothonas,Vothonas,GRSAN,36.3950772,25.4504422,POINT(25.4504422 36.3950772)
san-exo-gonia,Exo Gonia,GRSAN,36.3879757,25.4578667,POINT(25.4578667 36.3879757)
san-karterados,Karterados,GRSAN,36.4111617,25.4460945,POINT(25.4460945 36.4111617)
san-messaria,Messaria,GRSAN,36.3996365,25.4513253,POINT(25.4513253 36.3996365)
san-akrotiri-lighthouse,Akrotiri Lighthouse,GRSAN,36.3577023,25.3571183,POINT(25.3571183 36.3577023)
