landmark_id,name,archive_id,city,latitude,longitude,geometry_raw
btv-2614,Adams Court,2614,USBTV,44.4615908,-73.207278,POINT(-73.207278 44.4615908)
btv-2615,Adams Street,2615,USBTV,44.4722176,-73.2105725,POINT(-73.2105725 44.4722176)
btv-2617,Adsit Court,2617,USBTV,44.48135,-73.2050911,POINT(-73.2050911 44.48135)
btv-2618,Alfred Street,2618,USBTV,44.4595623,-73.2074877,POINT(-73.2074877 44.4595623)
btv-2620,Allen Street,2620,USBTV,44.4836653,-73.2148768,POINT(-73.2148768 44.4836653)
btv-2621,Archibald Street,2621,USBTV,44.4882427,-73.2033016,POINT(-73.2033016 44.4882427)
btv-2622,Bank Street,2622,USBTV,44.4781383,-73.2142544,POINT(-73.2142544 44.4781383)
btv-2623,Barrett Street,2623,USBTV,44.4876131,-73.1837783,POINT(-73.1837783 44.4876131)
btv-2624,Bayview Street,2624,USBTV,44.4687244,-73.206803,POINT(-73.206803 44.4687244)
btv-2626,Berry Street,2626,USBTV,44.4876319,-73.225423,POINT(-73.225423 44.4876319)
btv-2627,Blodgett Street,2627,USBTV,44.485857,-73.221144,POINT(-73.221144 44.485857)
btv-2628,Booth Street,2628,USBTV,44.4840692,-73.2067596,POINT(-73.2067596 44.4840692)
btv-2629,Bright Street,2629,USBTV,44.4887413,-73.2084184,POINT(-73.2084184 44.4887413)
btv-2630,Brookes Avenue,2630,USBTV,44.4822557,-73.2033971,POINT(-73.2033971 44.4822557)
btv-2631,Browns Court,2631,USBTV,44.4744701,-73.2133809,POINT(-73.2133809 44.4744701)
btv-2632,Canfield Street,2632,USBTV,44.485053,-73.223406,POINT(-73.223406 44.485053)
btv-2633,Caroline Street,2633,USBTV,44.4652346,-73.2105817,POINT(-73.2105817 44.4652346)
btv-2634,Catherine Street,2634,USBTV,44.4663026,-73.2109567,POINT(-73.2109567 44.4663026)
btv-2635,Cedar Street,2635,USBTV,44.4858279,-73.215232,POINT(-73.215232 44.4858279)
btv-2636,Center Street,2636,USBTV,44.4777147,-73.2115268,POINT(-73.2115268 44.4777147)
btv-2637,Central Avenue,2637,USBTV,44.4596241,-73.220809,POINT(-73.220809 44.4596241)
btv-2638,Charles Street,2638,USBTV,44.486177,-73.2064322,POINT(-73.2064322 44.486177)
btv-2639,Charlotte Street,2639,USBTV,44.4646384,-73.2117874,POINT(-73.2117874 44.4646384)
btv-2640,Chase Lane,2640,USBTV,44.4864831,-73.185555,POINT(-73.185555 44.4864831)
btv-2641,Cherry Street,2641,USBTV,44.4791887,-73.2166571,POINT(-73.2166571 44.4791887)
btv-2642,Church Street,2642,USBTV,44.4739815,-73.2123671,POINT(-73.2123671 44.4739815)
btv-2643,Clarke Street,2643,USBTV,44.4814,-73.21234,POINT(-73.21234 44.4814)
btv-2644,Cliff Street,2644,USBTV,44.469735,-73.2027173,POINT(-73.2027173 44.469735)
btv-2645,Clymer Street,2645,USBTV,44.4584158,-73.2069837,POINT(-73.2069837 44.4584158)
btv-2647,Colchester Avenue,2647,USBTV,44.4810582,-73.195365,POINT(-73.195365 44.4810582)
btv-2648,Colchester Court,2648,USBTV,44.4860004,-73.1866107,POINT(-73.1866107 44.4860004)
btv-2649,College Street,2649,USBTV,44.4768998,-73.2180592,POINT(-73.2180592 44.4768998)
btv-2650,Conger Avenue,2650,USBTV,44.4600157,-73.2196757,POINT(-73.2196757 44.4600157)
btv-2651,Converse Court,2651,USBTV,44.4820969,-73.2085006,POINT(-73.2085006 44.4820969)
btv-2652,Crombie Street,2652,USBTV,44.4861822,-73.2113889,POINT(-73.2113889 44.4861822)
btv-2653,Crowley Street,2653,USBTV,44.4870961,-73.2237955,POINT(-73.2237955 44.4870961)
btv-2654,Decatur Street,2654,USBTV,44.4868443,-73.2107238,POINT(-73.2107238 44.4868443)
btv-2655,Derway Drive,2655,USBTV,44.5256816,-73.2682111,POINT(-73.2682111 44.5256816)
btv-2656,Drew Street,2656,USBTV,44.4855333,-73.2220636,POINT(-73.2220636 44.4855333)
btv-2657,East Avenue,2657,USBTV,44.4756099,-73.1909344,POINT(-73.1909344 44.4756099)
btv-2658,Elmwood Avenue,2658,USBTV,44.486348,-73.2140094,POINT(-73.2140094 44.486348)
btv-2660,Ferguson Avenue,2660,USBTV,44.4542642,-73.2129123,POINT(-73.2129123 44.4542642)
btv-2661,Fletcher Place,2661,USBTV,44.4819017,-73.1958092,POINT(-73.1958092 44.4819017)
btv-2662,Flynn Avenue,2662,USBTV,44.4554653,-73.2148441,POINT(-73.2148441 44.4554653)
btv-2663,Foster Street,2663,USBTV,44.4533295,-73.2161758,POINT(-73.2161758 44.4533295)
btv-2664,Front Street,2664,USBTV,44.4834853,-73.220576,POINT(-73.220576 44.4834853)
btv-2665,George Street,2665,USBTV,44.4814786,-73.2151893,POINT(-73.2151893 44.4814786)
btv-2666,Germain Street,2666,USBTV,44.4875413,-73.2051305,POINT(-73.2051305 44.4875413)
btv-2667,Grant Street,2667,USBTV,44.482295,-73.2110166,POINT(-73.2110166 44.482295)
btv-2668,Greene Street,2668,USBTV,44.4823501,-73.2076286,POINT(-73.2076286 44.4823501)
btv-2669,Harrington Terrace,2669,USBTV,44.474472,-73.2037219,POINT(-73.2037219 44.474472)
btv-2670,Harrison Avenue,2670,USBTV,44.4588702,-73.2202791,POINT(-73.2202791 44.4588702)
btv-2671,Haswell Street,2671,USBTV,44.484472,-73.2229371,POINT(-73.2229371 44.484472)
btv-2672,Hayward Street,2672,USBTV,44.4676417,-73.2131299,POINT(-73.2131299 44.4676417)
btv-2673,Henry Street,2673,USBTV,44.484179,-73.2036168,POINT(-73.2036168 44.484179)
btv-2674,Hickok Place,2674,USBTV,44.4814943,-73.2080635,POINT(-73.2080635 44.4814943)
btv-2676,Hoover Street,2676,USBTV,44.460665,-73.2066447,POINT(-73.2066447 44.460665)
btv-2677,Howard Street,2677,USBTV,44.4672418,-73.2113915,POINT(-73.2113915 44.4672418)
btv-2678,Hungerford Terrace,2678,USBTV,44.4790087,-73.2070872,POINT(-73.2070872 44.4790087)
btv-2679,Hyde Street,2679,USBTV,44.4869538,-73.2072277,POINT(-73.2072277 44.4869538)
btv-2680,Intervale Avenue,2680,USBTV,44.4862885,-73.2125561,POINT(-73.2125561 44.4862885)
btv-2681,Intervale Road,2681,USBTV,44.4910284,-73.2038695,POINT(-73.2038695 44.4910284)
btv-2682,Isham Street,2682,USBTV,44.4823752,-73.2068085,POINT(-73.2068085 44.4823752)
btv-2683,Jackson Court,2683,USBTV,44.4749099,-73.2045714,POINT(-73.2045714 44.4749099)
btv-2684,Johnson Street,2684,USBTV,44.4819916,-73.2161428,POINT(-73.2161428 44.4819916)
btv-2685,Kingsland Terrace,2685,USBTV,44.4715846,-73.2077648,POINT(-73.2077648 44.4715846)
btv-2686,King Street,2686,USBTV,44.4745612,-73.2190023,POINT(-73.2190023 44.4745612)
btv-2687,Lafayette Place,2687,USBTV,44.4810559,-73.2101704,POINT(-73.2101704 44.4810559)
btv-2689,Lakeside Avenue,2689,USBTV,44.4612886,-73.2151,POINT(-73.2151 44.4612886)
btv-2691,Lake Street,2691,USBTV,44.4780624,-73.2203403,POINT(-73.2203403 44.4780624)
btv-2692,Lakeview Terrace,2692,USBTV,44.4856805,-73.2244615,POINT(-73.2244615 44.4856805)
btv-2693,Latham Court,2693,USBTV,44.481855,-73.1912697,POINT(-73.1912697 44.481855)
btv-2694,Ledge Road,2694,USBTV,44.462492,-73.2019311,POINT(-73.2019311 44.462492)
btv-2695,Loomis Street,2695,USBTV,44.4832932,-73.2043576,POINT(-73.2043576 44.4832932)
btv-2696,Luck Street,2696,USBTV,44.4900995,-73.2104452,POINT(-73.2104452 44.4900995)
btv-2697,Lyman Avenue,2697,USBTV,44.453167,-73.2130297,POINT(-73.2130297 44.453167)
btv-2698,Main Street,2698,USBTV,44.4750777,-73.1959446,POINT(-73.1959446 44.4750777)
btv-2699,Manhattan Drive,2699,USBTV,44.4907603,-73.212515,POINT(-73.212515 44.4907603)
btv-2700,Mansfield Avenue,2700,USBTV,44.4829863,-73.1991167,POINT(-73.1991167 44.4829863)
btv-2701,Maple Street,2701,USBTV,44.4735695,-73.2161739,POINT(-73.2161739 44.4735695)
btv-2702,Marble Avenue,2702,USBTV,44.4690373,-73.213372,POINT(-73.213372 44.4690373)
btv-2703,Mechanics Lane,2703,USBTV,44.4766311,-73.2120488,POINT(-73.2120488 44.4766311)
btv-2704,Mill Street,2704,USBTV,44.488403,-73.1860416,POINT(-73.1860416 44.488403)
btv-2705,Monroe Street,2705,USBTV,44.4813921,-73.2171815,POINT(-73.2171815 44.4813921)
btv-2707,Murray Street,2707,USBTV,44.4836408,-73.2159523,POINT(-73.2159523 44.4836408)
btv-2708,Myrtle Street,2708,USBTV,44.485139,-73.2185368,POINT(-73.2185368 44.485139)
btv-2709,Nash Place,2709,USBTV,44.484295,-73.1899248,POINT(-73.1899248 44.484295)
btv-2710,North Avenue,2710,USBTV,44.5279138,-73.2726425,POINT(-73.2726425 44.5279138)
btv-2714,North Prospect Street,2714,USBTV,44.4831461,-73.2011821,POINT(-73.2011821 44.4831461)
btv-2716,North Street,2716,USBTV,44.4847226,-73.214605,POINT(-73.214605 44.4847226)
btv-2717,North Union Street,2717,USBTV,44.4827078,-73.2094772,POINT(-73.2094772 44.4827078)
btv-2718,North Willard Street,2718,USBTV,44.4827971,-73.2057893,POINT(-73.2057893 44.4827971)
btv-2719,North Williams Street,2719,USBTV,44.481467,-73.2037562,POINT(-73.2037562 44.481467)
btv-2720,North Winooski Avenue,2720,USBTV,44.4888283,-73.2068024,POINT(-73.2068024 44.4888283)
btv-2721,Oak Street,2721,USBTV,44.4895975,-73.2105501,POINT(-73.2105501 44.4895975)
btv-2722,Orchard Terrace,2722,USBTV,44.4798069,-73.209993,POINT(-73.209993 44.4798069)
btv-2723,Overlake Park,2723,USBTV,44.4677167,-73.2024436,POINT(-73.2024436 44.4677167)
btv-2724,Park Street,2724,USBTV,44.4809627,-73.2190713,POINT(-73.2190713 44.4809627)
btv-2725,Pearl Street,2725,USBTV,44.4806635,-73.205514,POINT(-73.205514 44.4806635)
btv-2727,Peru Street,2727,USBTV,44.4825725,-73.2155902,POINT(-73.2155902 44.4825725)
btv-2728,Pine Place,2728,USBTV,44.4696252,-73.2137145,POINT(-73.2137145 44.4696252)
btv-2729,Pine Street,2729,USBTV,44.4729401,-73.2153666,POINT(-73.2153666 44.4729401)
btv-2730,Pitkin Street,2730,USBTV,44.485992,-73.2202789,POINT(-73.2202789 44.485992)
btv-2731,Plattsburg Avenue,2731,USBTV,44.5187326,-73.2572822,POINT(-73.2572822 44.5187326)
btv-2732,Pomeroy Street,2732,USBTV,44.48699,-73.2046265,POINT(-73.2046265 44.48699)
btv-2733,Poplar Street,2733,USBTV,44.4863173,-73.2186168,POINT(-73.2186168 44.4863173)
btv-2734,Proctor Place,2734,USBTV,44.4586032,-73.2217288,POINT(-73.2217288 44.4586032)
btv-2736,Riverside Avenue,2736,USBTV,44.4879454,-73.1966813,POINT(-73.1966813 44.4879454)
btv-2738,Rose Street,2738,USBTV,44.4862085,-73.2165176,POINT(-73.2165176 44.4862085)
btv-2739,Russell Street,2739,USBTV,44.4855385,-73.2069033,POINT(-73.2069033 44.4855385)
btv-2740,Scarff Avenue,2740,USBTV,44.4519386,-73.2108984,POINT(-73.2108984 44.4519386)
btv-2741,School Street,2741,USBTV,44.4840365,-73.2080533,POINT(-73.2080533 44.4840365)
btv-2742,Shelburne Street,2742,USBTV,44.4530638,-73.2087757,POINT(-73.2087757 44.4530638)
btv-2743,Sherman Street,2743,USBTV,44.4820943,-73.2183554,POINT(-73.2183554 44.4820943)
btv-2744,South Champlain Street,2744,USBTV,44.4715906,-73.2167963,POINT(-73.2167963 44.4715906)
btv-2745,South Prospect Street,2745,USBTV,44.4649346,-73.2015697,POINT(-73.2015697 44.4649346)
btv-2746,South Union Street,2746,USBTV,44.4695247,-73.208428,POINT(-73.208428 44.4695247)
btv-2749,South Willard Street,2749,USBTV,44.4750692,-73.2054002,POINT(-73.2054002 44.4750692)
btv-2751,South Williams Street,2751,USBTV,44.4784938,-73.2031548,POINT(-73.2031548 44.4784938)
btv-2752,South Winooski Avenue,2752,USBTV,44.4743013,-73.2107673,POINT(-73.2107673 44.4743013)
btv-2754,Spring Street,2754,USBTV,44.4867946,-73.2131478,POINT(-73.2131478 44.4867946)
btv-2755,Spruce Court,2755,USBTV,44.4706534,-73.2114583,POINT(-73.2114583 44.4706534)
btv-2756,Spruce Street,2756,USBTV,44.4705318,-73.2087729,POINT(-73.2087729 44.4705318)
btv-2757,Staniford Road,2757,USBTV,44.510222,-73.2562761,POINT(-73.2562761 44.510222)
btv-2758,St Louis Street,2758,USBTV,44.4883787,-73.2122468,POINT(-73.2122468 44.4883787)
btv-2760,St Paul Street,2760,USBTV,44.4662208,-73.2087338,POINT(-73.2087338 44.4662208)
btv-2761,Summit Street,2761,USBTV,44.4730305,-73.2021626,POINT(-73.2021626 44.4730305)
btv-2762,Tower Terrace,2762,USBTV,44.4719348,-73.2057653,POINT(-73.2057653 44.4719348)
btv-2763,University Terrace,2763,USBTV,44.4747049,-73.1974204,POINT(-73.1974204 44.4747049)
btv-2764,Walnut Street,2764,USBTV,44.4896149,-73.2127669,POINT(-73.2127669 44.4896149)
btv-2765,Ward Street,2765,USBTV,44.4868622,-73.2222647,POINT(-73.2222647 44.4868622)
btv-2766,Washington Street,2766,USBTV,44.4881803,-73.2244473,POINT(-73.2244473 44.4881803)
btv-2767,Weston Street,2767,USBTV,44.4837193,-73.2044658,POINT(-73.2044658 44.4837193)
btv-2768,Willow Street,2768,USBTV,44.4889908,-73.2120212,POINT(-73.2120212 44.4889908)
btv-2769,Wilson Street,2769,USBTV,44.4842362,-73.2003682,POINT(-73.2003682 44.4842362)
btv-2770,Wright Avenue,2770,USBTV,44.4601041,-73.2206686,POINT(-73.2206686 44.4601041)
